Agency,Bureau,Account,Program,Cohort Year,Original Subsidy Rate (%),Current Reestimated Rate (%),Change Due to Interest Rates (pct pts),Change Due to Technical (pct pts),Current Reestimate Amt ($K),Net Lifetime Reestimate ($K),Net Lifetime Reest Excl Interest ($K),Total Disbursements ($K),Outstanding Balance ($K)
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 502 Single Family Housing,1997,14.18,16.81,1.58,1.05,11601,56674,14036,670284,52597
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 502 Single Family Housing,1998,12.81,14.91,1.22,0.88,15585,62483,16330,965417,95021
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 502 Single Family Housing,1999,11.82,15.4,3.6,-0.02,13001,84193,27978,929245,104266
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 502 Single Family Housing,2000,8.53,16.59,7.13,0.93,27516,158000,79316,1103112,143655
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 502 Single Family Housing,2001,16.06,12.6,-6.26,2.8,19462,21838,-39850,1034090,153077
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 502 Single Family Housing,2002,13.16,11.49,-3.63,1.96,32042,41254,-20075,1032791,179307
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 502 Single Family Housing,2003,19.37,11.55,-1.65,-6.17,24109,-50163,-80492,989983,199469
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 502 Single Family Housing,2004,9.27,14.9,1,4.63,42051,135900,66704,1275373,277094
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 502 Single Family Housing,2005,11.58,17.24,-1.23,6.89,41725,128210,57574,1103402,268284
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 502 Single Family Housing,2006,11.39,21.68,2.74,7.55,41972,213365,116651,1178652,314746
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 502 Single Family Housing,2007,10.03,22.37,1.32,11.02,41266,239790,146441,1183000,346916
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 502 Single Family Housing,2008,9.37,16.76,-5.01,12.4,39218,140020,81140,1111686,359603
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 502 Single Family Housing,2009,6.72,10.73,-3.6,7.61,53183,89541,55764,1434500,500172
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 502 Single Family Housing,2010,3.63,10.54,1.52,5.39,80822,180564,140331,2104327,787055
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 502 Single Family Housing,2011,6.26,8.17,2,-0.09,42829,30121,19314,1101914,462422
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 502 Single Family Housing,2012,4.73,2.26,5.07,-7.54,27065,-14323,-22174,890147,406242
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 502 Single Family Housing,2013,5.97,3.95,4.37,-6.39,19917,-15703,-16259,790355,410492
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 502 Single Family Housing,2014,2.72,1.72,3.93,-4.93,12187,-8936,-7825,766072,419744
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 502 Single Family Housing,2015,7.38,-0.67,-0.73,-7.32,13046,-69902,-67031,840673,506289
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 502 Single Family Housing,2016,6.75,-0.84,0.44,-8.03,13469,-70229,-68344,908315,597863
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 502 Single Family Housing,2017,6.77,2.31,2.12,-6.58,18388,-43898,-42325,950665,656482
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 502 Single Family Housing,2018,3.85,0.93,3.09,-6.01,15243,-33916,-30276,1043036,775402
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 502 Single Family Housing,2019,6.77,-2.43,-5.31,-3.89,14287,-89897,-86565,951299,760555
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 502 Single Family Housing,2020,9,-7.43,-9.13,-7.3,21681,-158714,-157137,964435,822603
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 502 Single Family Housing,2021,5.54,-1.65,-4.43,-2.76,24494,-68484,-67764,945349,857519
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 502 Single Family Housing,2022,1.86,9.17,4.72,2.59,25762,84905,83297,1163909,1110602
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 502 Single Family Housing,2023,3.71,11.14,4.36,3.07,100648,117046,113096,1579585,1570306
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 502 Single Family Housing,2024,9.6,-2.86,,-12.46,-90346,-90346,-86632,698614,758731
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 515 Multifamily Housing,1992,43.3,58.85,-3.17,18.72,917,110687,75888,564262,431136
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 515 Multifamily Housing,1993,49.55,59.19,6.16,3.48,-116,61233,39669,565371,430886
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 515 Multifamily Housing,1994,58.06,61.48,2.4,1.02,-2270,18519,3828,505323,422315
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 515 Multifamily Housing,1995,54.55,56.18,2.99,-1.36,21,2792,-1251,179792,160360
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 515 Multifamily Housing,1996,53.8,56.63,-2.57,5.4,-55,1702,995,146926,129083
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 515 Multifamily Housing,1997,51.24,52.56,7.42,-6.1,-1003,487,-1168,145232,129220
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 515 Multifamily Housing,1998,45.85,47.28,7.36,-5.93,-1752,-1386,-83,144645,133196
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 515 Multifamily Housing,1999,48.25,46.61,-1.19,-0.45,-937,-3221,-3144,111420,96022
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 515 Multifamily Housing,2000,39.68,44.03,4.83,-0.48,-1615,2836,3356,107430,97014
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 515 Multifamily Housing,2001,49.27,40.48,-7.03,-1.76,-1965,-14428,-10708,115550,104530
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 515 Multifamily Housing,2002,42.32,38.69,-1.69,-1.94,-1269,-6021,-3848,109449,109166
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 515 Multifamily Housing,2003,46.63,38.1,-6.21,-2.32,-1738,-11002,-9238,112386,95736
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 515 Multifamily Housing,2004,43.01,37.39,-2.63,-2.99,-1149,-7632,-6116,106388,96555
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 515 Multifamily Housing,2005,47.09,36.19,-6.06,-4.84,-909,-11029,-9261,89645,79496
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 515 Multifamily Housing,2006,45.88,37.62,-4.71,-3.55,-776,-6863,-7117,90043,80912
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 515 Multifamily Housing,2007,45.67,34.66,-7.8,-3.21,-629,-10832,-9409,88422,78181
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 515 Multifamily Housing,2008,42.61,32.53,-6.6,-3.48,-516,-6535,-5813,65415,54452
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 515 Multifamily Housing,2009,41.16,30.18,-7.75,-3.23,-535,-7874,-6879,64262,55829
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 515 Multifamily Housing,2010,27.24,33.08,12.15,-6.31,-278,3616,3124,63872,51795
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 515 Multifamily Housing,2011,33.73,23.34,-12.48,2.09,-309,-6682,-6095,59784,55118
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 515 Multifamily Housing,2012,34.12,19.49,-7.48,-7.15,-353,-8500,-7625,53405,56443
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 515 Multifamily Housing,2013,35.17,20.32,-9.5,-5.34,-165,-4462,-4078,28346,26720
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 515 Multifamily Housing,2014,23.41,22.3,-2.18,1.07,-288,-493,-371,27487,23458
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 515 Multifamily Housing,2015,34.51,19.11,-11.78,-3.62,-104,-3782,-3785,25050,23245
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 515 Multifamily Housing,2016,29.63,23.53,-3.66,-2.44,-189,-1860,-1740,28396,27592
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 515 Multifamily Housing,2017,29.6,18.6,-9.6,-1.4,-334,-3781,-3543,33407,33230
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 515 Multifamily Housing,2018,26.31,12.14,-10.41,-3.76,-309,-6088,-5841,40350,39409
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 515 Multifamily Housing,2019,23.71,26.9,,3.19,-89,2082,1877,59336,58939
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 515 Multifamily Housing,2020,30.36,10.49,3.65,-23.52,-9380,-7424,-7446,38265,39385
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 515 Multifamily Housing,2021,16.72,16.4,,-0.32,-431,-99,-89,31076,31240
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 515 Multifamily Housing,2022,8.94,5.58,,-3.36,-461,-591,-552,14019,13986
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 515 Multifamily Housing,2023,19.11,16.65,,-2.46,-295,-295,-281,10745,10738
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 515 Multifamily Housing,2024,34.98,(4),,,,,,,
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 504 Housing Repair,1992,42.92,31.68,0.55,-11.79,,-1136,-1377,11024,2
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 504 Housing Repair,1993,38.27,29.52,1.79,-10.54,115,-976,-1101,11468,2
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 504 Housing Repair,1994,37.63,30.71,0.13,-7.05,-*,-499,-1923,24310,27
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 504 Housing Repair,1995,39.61,32.07,-0.49,-7.05,2,-1697,-2466,28345,69
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 504 Housing Repair,1996,37.55,30.15,-0.11,-7.29,-11,-2570,-2839,33365,81
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 504 Housing Repair,1997,36.63,30.66,0.3,-6.27,-1,-2098,-2087,28676,124
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 504 Housing Repair,1998,34.36,27.63,-0.53,-6.2,,-1807,-2191,28209,122
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 504 Housing Repair,1999,35.23,27.85,-1.7,-5.68,-4,-1784,-1877,23481,68
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 504 Housing Repair,2000,30.56,29.3,4.98,-6.24,49,-218,-581,25012,1
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 504 Housing Repair,2001,35.44,27.3,-4.56,-3.58,-83,-1975,-2476,28441,69
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 504 Housing Repair,2002,32.13,27.15,-3.46,-1.52,109,-881,-1682,30394,77
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 504 Housing Repair,2003,31.02,24.48,-5.56,-0.98,7,-1371,-2088,29980,154
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 504 Housing Repair,2004,27.46,25.36,-0.62,-1.48,56,43,-826,31579,167
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 504 Housing Repair,2005,29.06,26.04,-2.14,-0.88,138,274,-793,34609,436
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 504 Housing Repair,2006,29.25,29.62,-0.13,0.5,217,-1598,-2579,34044,800
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 504 Housing Repair,2007,29.55,29.59,-2.11,2.15,207,-7464,-7812,34192,1345
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 504 Housing Repair,2008,28.27,25.83,-5.56,3.12,214,-3513,-4106,28619,1663
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 504 Housing Repair,2009,26.87,23.19,-8.14,4.46,221,-1687,-2243,26084,1964
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 504 Housing Repair,2010,12.85,24.35,6.73,4.77,245,3473,2786,25126,2567
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 504 Housing Repair,2011,18.93,22.08,-6.79,9.94,280,1078,605,21099,2716
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 504 Housing Repair,2012,14.21,17.32,-7.86,10.97,163,526,280,9693,1612
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 504 Housing Repair,2013,13.67,17.3,-5.54,9.17,241,753,466,13548,2947
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 504 Housing Repair,2014,8.28,18.05,2.51,7.26,223,1419,1238,13003,3625
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 504 Housing Repair,2015,14.03,16.72,-6.18,8.87,281,583,349,13890,4317
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 504 Housing Repair,2016,13.03,13.34,-6.45,6.76,302,304,30,15976,5994
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 504 Housing Repair,2017,13.94,14.49,-4.61,5.16,431,324,74,18657,7931
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 504 Housing Repair,2018,12.33,25.2,-0.45,13.32,2703,2781,2277,18249,8933
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 504 Housing Repair,2019,12.21,11.71,-2.63,2.13,438,13,-100,15823,8862
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 504 Housing Repair,2020,16.71,3.28,-15.23,1.79,249,-2012,-2043,15185,9352
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 504 Housing Repair,2021,7.91,4.07,-4.8,0.96,156,-430,-516,13323,9572
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 504 Housing Repair,2022,1.73,11.37,8.93,0.71,-24,1199,1326,13876,11233
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 504 Housing Repair,2023,8.3,18.64,10.17,0.17,1336,1345,1358,13691,12155
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 504 Housing Repair,2024,17.35,14.54,,-2.81,-234,-234,-225,7299,7597
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 514 Farm Labor Housing,1992,55.21,52.47,-0.37,-2.37,16,-554,-690,15804,1100
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 514 Farm Labor Housing,1993,45.48,54.55,8.63,0.44,29,1634,1160,16112,2262
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 514 Farm Labor Housing,1994,50,54.75,4.11,0.64,26,1992,469,15627,2027
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 514 Farm Labor Housing,1995,52.48,52.04,2.19,-2.63,24,-1045,-442,15052,1661
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 514 Farm Labor Housing,1996,56.8,51.87,-3.2,-1.73,-46,758,-1127,14830,2170
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 514 Farm Labor Housing,1997,47.77,48.96,3.68,-2.49,-2,-492,-460,15090,3655
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 514 Farm Labor Housing,1998,49.25,48.27,0.96,-1.94,-1,-1138,-287,14515,3509
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 514 Farm Labor Housing,1999,52.03,46.57,-5.43,-0.03,-12,-1315,-1061,18122,6032
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 514 Farm Labor Housing,2000,45.23,44.06,3.85,-5.02,-15,-742,-719,27327,10044
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 514 Farm Labor Housing,2001,52.59,41.92,-21.74,11.07,7,-3438,-3224,29522,12762
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 514 Farm Labor Housing,2002,47.31,40.17,-11.2,4.06,32,-3077,-2785,33304,16243
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 514 Farm Labor Housing,2003,49.02,37.07,-12.53,0.58,129,-5240,-4341,43662,25045
